method_is_get,method_is_post,uri_length,uri_depth,has_query,query_length,special_char_count,digit_ratio,url_encoded_count,has_double_encoding,path_traversal_count,has_sensitive_file,has_cmd_keyword,has_sql_keyword,is_binary_request,status_code,is_4xx,is_5xx,user_agent_length,is_empty_user_agent,is_bot_user_agent,ip,timestamp,size,referrer
1,0,1,1,0,0,1,0.0,0,0,0,0,0,0,0,404,1,0,22,0,1,34.76.34.183,08/Mar/2026:21:02:43 +0000,143,-
1,0,1,1,0,0,1,0.0,0,0,0,0,0,0,0,404,1,0,139,0,0,43.133.220.37,08/Mar/2026:21:06:51 +0000,143,-
1,0,1,1,0,0,1,0.0,0,0,0,0,0,0,0,200,0,0,140,0,0,162.216.149.62,08/Mar/2026:21:10:10 +0000,1561,-
1,0,1,1,0,0,1,0.0,0,0,0,0,0,0,0,404,1,0,139,0,0,180.101.244.16,08/Mar/2026:21:10:39 +0000,143,-
1,0,1,1,0,0,1,0.0,0,0,0,0,0,0,0,404,1,0,139,0,0,59.83.208.103,08/Mar/2026:21:10:39 +0000,143,-
1,0,1,1,0,0,1,0.0,0,0,0,0,0,0,0,404,1,0,139,0,0,220.196.160.75,08/Mar/2026:21:10:39 +0000,143,-
1,0,1,1,0,0,1,0.0,0,0,0,0,0,0,0,404,1,0,21,0,1,135.237.126.199,08/Mar/2026:21:11:39 +0000,143,-
1,0,1,1,0,0,1,0.0,0,0,0,0,0,0,0,404,1,0,140,0,0,162.216.149.216,08/Mar/2026:21:25:37 +0000,143,-
1,0,5,1,0,0,2,0.0,0,0,0,1,0,0,0,404,1,0,111,0,0,5.189.157.228,08/Mar/2026:21:39:30 +0000,201,-
0,1,1,1,0,0,1,0.0,0,0,0,0,0,0,0,404,1,0,111,0,0,5.189.157.228,08/Mar/2026:21:39:33 +0000,201,-
1,0,5,1,0,0,2,0.0,0,0,0,1,0,0,0,200,0,0,111,0,0,5.189.157.228,08/Mar/2026:21:39:36 +0000,1561,-
1,0,1,1,0,0,1,0.0,0,0,0,0,0,0,0,404,1,0,70,0,1,66.132.153.138,08/Mar/2026:21:49:04 +0000,143,-
0,0,1,0,0,0,1,0.0,0,0,0,0,0,0,0,400,1,0,1,0,0,66.132.153.138,08/Mar/2026:21:49:05 +0000,173,-
1,0,131,0,0,0,4,0.32061068702290074,0,0,0,0,1,0,1,400,1,0,1,0,0,66.132.153.138,08/Mar/2026:21:49:06 +0000,173,-
1,0,25,2,0,0,4,0.0,0,0,0,0,0,0,0,404,1,0,70,0,1,66.132.153.138,08/Mar/2026:21:49:08 +0000,143,-
0,0,152,1,0,0,8,0.2631578947368421,0,0,0,0,1,1,1,400,1,0,1,0,0,66.132.153.138,08/Mar/2026:21:49:13 +0000,173,-
1,0,1,1,0,0,1,0.0,0,0,0,0,0,0,0,200,0,0,70,0,1,162.142.125.47,08/Mar/2026:21:49:56 +0000,1561,-
0,0,1,0,0,0,1,0.0,0,0,0,0,0,0,0,400,1,0,1,0,0,162.142.125.47,08/Mar/2026:21:50:09 +0000,173,-
1,0,12,1,0,0,2,0.0,0,0,0,1,0,0,0,200,0,0,70,0,1,162.142.125.47,08/Mar/2026:21:51:14 +0000,1561,-
1,0,12,1,0,0,1,0.4166666666666667,0,0,0,0,0,0,0,200,0,0,70,0,1,162.142.125.47,08/Mar/2026:21:51:23 +0000,1561,-
1,0,12,1,0,0,2,0.0,0,0,0,0,0,0,0,200,0,0,70,0,1,162.142.125.47,08/Mar/2026:21:51:27 +0000,88446,-
1,0,1,1,0,0,1,0.0,0,0,0,0,0,0,0,301,0,0,359,0,0,54.223.81.128,08/Mar/2026:21:52:37 +0000,185,-
1,0,1,1,0,0,1,0.0,0,0,0,0,0,0,0,200,0,0,359,0,0,71.131.253.176,08/Mar/2026:21:52:37 +0000,1561,-
1,0,22,2,0,0,2,0.0,0,0,0,1,0,0,0,200,0,0,359,0,0,71.131.253.176,08/Mar/2026:21:52:37 +0000,3972,https://jcw.directionclock.top/login?redirect=/index
1,0,12,1,0,0,2,0.0,0,0,0,0,0,0,0,200,0,0,359,0,0,71.131.253.176,08/Mar/2026:21:52:37 +0000,88446,https://jcw.directionclock.top/login?redirect=/index
1,0,1,1,0,0,1,0.0,0,0,0,0,0,0,0,301,0,0,117,0,0,140.179.115.88,08/Mar/2026:21:52:49 +0000,185,-
1,0,1,1,0,0,1,0.0,0,0,0,0,0,0,0,200,0,0,117,0,0,54.222.150.196,08/Mar/2026:21:52:49 +0000,1561,-
1,0,22,2,0,0,2,0.0,0,0,0,1,0,0,0,200,0,0,117,0,0,54.222.150.196,08/Mar/2026:21:52:49 +0000,3896,https://jcw.directionclock.top/login?redirect=/index
1,0,26,3,0,0,6,0.0,0,0,0,0,1,1,0,400,1,0,1,0,0,8.219.209.185,08/Mar/2026:22:02:15 +0000,271,-
1,0,12,0,0,0,0,0.5,0,0,0,0,0,0,1,400,1,0,1,0,0,8.219.209.185,08/Mar/2026:22:02:56 +0000,173,-
